# sample 1
init crypto/internal/fips140 @0.36 ms, 0.002 ms clock, 480 bytes, 9 allocs
init crypto/internal/fips140/sha3 @0.37 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.38 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.38 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.39 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.39 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.40 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.40 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.41 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.41 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.42 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.42 ms, 0.017 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.45 ms, 0.003 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.46 ms, 0.004 ms clock, 408 bytes, 15 allocs
init encoding/json @0.47 ms, 0.004 ms clock, 224 bytes, 2 allocs
init flag @0.47 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.48 ms, 0.018 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.50 ms, 0.002 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.52 ms, 0.011 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.53 ms, 0.001 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.54 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.55 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.55 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.56 ms, 0.001 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.56 ms, 0.040 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.61 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.62 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.62 ms, 0.003 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.63 ms, 0.003 ms clock, 400 bytes, 7 allocs
init regexp/syntax @0.64 ms, 0.001 ms clock, 2344 bytes, 6 allocs
init regexp @0.64 ms, 0.002 ms clock, 0 bytes, 0 allocs
init testing @0.65 ms, 0 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.66 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.66 ms, 0.009 ms clock, 728 bytes, 18 allocs
init net @0.68 ms, 0.011 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.69 ms, 0.020 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.72 ms, 0.006 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.74 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.75 ms, 0.16 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @0.92 ms, 0.002 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @0.93 ms, 0.056 ms clock, 4824 bytes, 33 allocs
init main @1.0 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 16
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.014 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.023 ms, 0.035 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.18 ms, 0.003 ms clock, 0 bytes, 0 allocs
init math @0.19 ms, 0.002 ms clock, 0 bytes, 0 allocs
init errors @0.20 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.21 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.22 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.23 ms, 0.019 ms clock, 6104 bytes, 112 allocs
init encoding/base32 @0.25 ms, 0.003 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.26 ms, 0.003 ms clock, 1408 bytes, 4 allocs
init crypto @0.27 ms, 0 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.28 ms, 0.009 ms clock, 1152 bytes, 5 allocs
init syscall @0.30 ms, 0.003 ms clock, 1536 bytes, 5 allocs
init time @0.30 ms, 0.001 ms clock, 256 bytes, 2 allocs
init context @0.31 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.32 ms, 0.003 ms clock, 72 bytes, 2 allocs
init io/fs @0.32 ms, 0.003 ms clock, 0 bytes, 0 allocs
init os @0.33 ms, 0.007 ms clock, 448 bytes, 9 allocs
init os/signal @0.34 ms, 0.002 ms clock, 0 bytes, 0 allocs
init unicode @0.35 ms, 0.008 ms clock, 11400 bytes, 16 allocs
init reflect @0.36 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.37 ms, 0.009 ms clock, 6952 bytes, 11 allocs
init go/token @0.39 ms, 0.003 ms clock, 984 bytes, 4 allocs
init compress/flate @0.40 ms, 0.003 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.41 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.41 ms, 0.004 ms clock, 480 bytes, 9 allocs
init crypto/internal/fips140/sha3 @0.42 ms, 0.003 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.43 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.44 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.44 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.45 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.46 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.46 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.47 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.47 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.48 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.49 ms, 0.024 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.52 ms, 0.004 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.53 ms, 0.005 ms clock, 408 bytes, 15 allocs
init encoding/json @0.54 ms, 0.005 ms clock, 224 bytes, 2 allocs
init flag @0.55 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.56 ms, 0.023 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.59 ms, 0.003 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.60 ms, 0.016 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.63 ms, 0.003 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.64 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.64 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.65 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.66 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.67 ms, 0.051 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.72 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.73 ms, 0.002 ms clock, 112 bytes, 1 allocs
init go/parser @0.74 ms, 0.003 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.74 ms, 0.003 ms clock, 560 bytes, 8 allocs
init regexp/syntax @0.75 ms, 0.001 ms clock, 2344 bytes, 6 allocs
init regexp @0.76 ms, 0.002 ms clock, 0 bytes, 0 allocs
init testing @0.77 ms, 0.001 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.77 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.78 ms, 0.009 ms clock, 728 bytes, 18 allocs
init net @0.79 ms, 0.004 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.80 ms, 0.010 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.82 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.83 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.84 ms, 0.11 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @0.96 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @0.97 ms, 0.043 ms clock, 4824 bytes, 33 allocs
init main @1.0 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 17
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.012 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.021 ms, 0.025 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.16 ms, 0.002 ms clock, 0 bytes, 0 allocs
init math @0.17 ms, 0.002 ms clock, 0 bytes, 0 allocs
init errors @0.18 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.18 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.19 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.20 ms, 0.015 ms clock, 6264 bytes, 113 allocs
init encoding/base32 @0.22 ms, 0.002 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.23 ms, 0.002 ms clock, 1408 bytes, 4 allocs
init crypto @0.24 ms, 0 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.24 ms, 0.008 ms clock, 1152 bytes, 5 allocs
init syscall @0.26 ms, 0.006 ms clock, 1536 bytes, 5 allocs
init time @0.27 ms, 0 ms clock, 256 bytes, 2 allocs
init context @0.27 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.28 ms, 0.002 ms clock, 72 bytes, 2 allocs
init io/fs @0.28 ms, 0.001 ms clock, 0 bytes, 0 allocs
init os @0.29 ms, 0.007 ms clock, 448 bytes, 9 allocs
init os/signal @0.30 ms, 0.002 ms clock, 0 bytes, 0 allocs
init unicode @0.31 ms, 0.008 ms clock, 11400 bytes, 16 allocs
init reflect @0.32 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.33 ms, 0.008 ms clock, 6952 bytes, 11 allocs
init go/token @0.35 ms, 0.002 ms clock, 984 bytes, 4 allocs
init compress/flate @0.35 ms, 0.002 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.36 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.37 ms, 0.002 ms clock, 640 bytes, 10 allocs
init crypto/internal/fips140/sha3 @0.38 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.38 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.39 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.39 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.40 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.40 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.41 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.42 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.42 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.43 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.43 ms, 0.021 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.46 ms, 0.005 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.47 ms, 0.005 ms clock, 408 bytes, 15 allocs
init encoding/json @0.48 ms, 0.003 ms clock, 224 bytes, 2 allocs
init flag @0.49 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.50 ms, 0.018 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.52 ms, 0.002 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.53 ms, 0.011 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.55 ms, 0.002 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.56 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.57 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.57 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.58 ms, 0.001 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.59 ms, 0.041 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.63 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.64 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.65 ms, 0.003 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.65 ms, 0.003 ms clock, 400 bytes, 7 allocs
init regexp/syntax @0.66 ms, 0.001 ms clock, 2344 bytes, 6 allocs
init regexp @0.67 ms, 0.001 ms clock, 0 bytes, 0 allocs
init testing @0.67 ms, 0 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.68 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.69 ms, 0.007 ms clock, 728 bytes, 18 allocs
init net @0.70 ms, 0.004 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.71 ms, 0.008 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.72 ms, 0.004 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.73 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.74 ms, 0.11 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @0.86 ms, 0.002 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @0.87 ms, 0.042 ms clock, 4824 bytes, 33 allocs
init main @0.91 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 18
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.014 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.023 ms, 0.034 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.19 ms, 0.003 ms clock, 0 bytes, 0 allocs
init math @0.20 ms, 0.003 ms clock, 0 bytes, 0 allocs
init errors @0.21 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.22 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.23 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.24 ms, 0.019 ms clock, 6264 bytes, 113 allocs
init encoding/base32 @0.26 ms, 0.003 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.28 ms, 0.003 ms clock, 1408 bytes, 4 allocs
init crypto @0.28 ms, 0 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.29 ms, 0.009 ms clock, 1152 bytes, 5 allocs
init syscall @0.31 ms, 0.005 ms clock, 1536 bytes, 5 allocs
init time @0.32 ms, 0 ms clock, 256 bytes, 2 allocs
init context @0.32 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.33 ms, 0.003 ms clock, 72 bytes, 2 allocs
init io/fs @0.34 ms, 0.003 ms clock, 0 bytes, 0 allocs
init os @0.34 ms, 0.007 ms clock, 448 bytes, 9 allocs
init os/signal @0.36 ms, 0.002 ms clock, 0 bytes, 0 allocs
init unicode @0.36 ms, 0.093 ms clock, 11400 bytes, 16 allocs
init reflect @0.46 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.47 ms, 0.010 ms clock, 6952 bytes, 11 allocs
init go/token @0.49 ms, 0.004 ms clock, 984 bytes, 4 allocs
init compress/flate @0.50 ms, 0.003 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.51 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.51 ms, 0.003 ms clock, 320 bytes, 8 allocs
init crypto/internal/fips140/sha3 @0.52 ms, 0.003 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.53 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.54 ms, 0.001 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.54 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.55 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.56 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.56 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.57 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.57 ms, 0.001 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.58 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.58 ms, 0.023 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.62 ms, 0.007 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.63 ms, 0.006 ms clock, 408 bytes, 15 allocs
init encoding/json @0.64 ms, 0.005 ms clock, 224 bytes, 2 allocs
init flag @0.65 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.66 ms, 0.023 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.69 ms, 0.004 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.70 ms, 0.016 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.73 ms, 0.003 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.74 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.74 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.75 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.76 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.77 ms, 0.053 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.82 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.83 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.84 ms, 0.004 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.85 ms, 0.003 ms clock, 400 bytes, 7 allocs
init regexp/syntax @0.86 ms, 0.001 ms clock, 2344 bytes, 6 allocs
init regexp @0.86 ms, 0.003 ms clock, 0 bytes, 0 allocs
init testing @0.87 ms, 0.001 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.87 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.88 ms, 0.010 ms clock, 728 bytes, 18 allocs
init net @0.90 ms, 0.004 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.91 ms, 0.010 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.92 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.93 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.95 ms, 0.12 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @1.0 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @1.0 ms, 0.044 ms clock, 4824 bytes, 33 allocs
init main @1.1 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 19
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.012 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.019 ms, 0.026 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.16 ms, 0.002 ms clock, 0 bytes, 0 allocs
init math @0.17 ms, 0.001 ms clock, 0 bytes, 0 allocs
init errors @0.18 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.19 ms, 0.004 ms clock, 16 bytes, 1 allocs
init sync @0.20 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.20 ms, 0.015 ms clock, 6264 bytes, 113 allocs
init encoding/base32 @0.22 ms, 0.002 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.23 ms, 0.002 ms clock, 1408 bytes, 4 allocs
init crypto @0.24 ms, 0 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.24 ms, 0.008 ms clock, 1152 bytes, 5 allocs
init syscall @0.26 ms, 0.003 ms clock, 1536 bytes, 5 allocs
init time @0.27 ms, 0 ms clock, 256 bytes, 2 allocs
init context @0.27 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.28 ms, 0.002 ms clock, 72 bytes, 2 allocs
init io/fs @0.28 ms, 0.001 ms clock, 0 bytes, 0 allocs
init os @0.29 ms, 0.006 ms clock, 448 bytes, 9 allocs
init os/signal @0.30 ms, 0.001 ms clock, 0 bytes, 0 allocs
init unicode @0.31 ms, 0.006 ms clock, 11400 bytes, 16 allocs
init reflect @0.32 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.32 ms, 0.008 ms clock, 6952 bytes, 11 allocs
init go/token @0.34 ms, 0.002 ms clock, 984 bytes, 4 allocs
init compress/flate @0.35 ms, 0.002 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.35 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.36 ms, 0.002 ms clock, 320 bytes, 8 allocs
init crypto/internal/fips140/sha3 @0.37 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.37 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.38 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.38 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.39 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.39 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.40 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.40 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.41 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.41 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.42 ms, 0.016 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.44 ms, 0.006 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.45 ms, 0.004 ms clock, 408 bytes, 15 allocs
init encoding/json @0.46 ms, 0.003 ms clock, 224 bytes, 2 allocs
init flag @0.47 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.48 ms, 0.018 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.50 ms, 0.002 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.51 ms, 0.011 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.53 ms, 0.001 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.54 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.54 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.55 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.56 ms, 0.002 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.56 ms, 0.042 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.61 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.61 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.62 ms, 0.003 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.63 ms, 0.003 ms clock, 400 bytes, 7 allocs
init regexp/syntax @0.63 ms, 0.001 ms clock, 2344 bytes, 6 allocs
init regexp @0.64 ms, 0.001 ms clock, 0 bytes, 0 allocs
init testing @0.65 ms, 0 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.65 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.66 ms, 0.007 ms clock, 728 bytes, 18 allocs
init net @0.67 ms, 0.004 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.68 ms, 0.008 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.69 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.70 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.71 ms, 0.11 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @0.83 ms, 0.001 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @0.84 ms, 0.036 ms clock, 4824 bytes, 33 allocs
init main @0.88 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 20
init internal/bytealg @0.003 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.015 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.023 ms, 0.030 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.18 ms, 0.003 ms clock, 0 bytes, 0 allocs
init math @0.19 ms, 0.003 ms clock, 0 bytes, 0 allocs
init errors @0.20 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.21 ms, 0.006 ms clock, 16 bytes, 1 allocs
init sync @0.22 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.22 ms, 0.021 ms clock, 6264 bytes, 113 allocs
